,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Enrollment Report,,,,,,,,,,,,,,
,,,,,,,,,Student Enrollment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Export to Excel,,,,,,,,,,,,,,
,,,,,,,,,,School Year  2013-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Information about this report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,School Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NECAP Assessment Report Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Operating District Financial Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,County               SU/SD                Operating District    School Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,PK/EEE,K Part,,,K Full,1st,2nd,3rd,4th,,,,5th,6th,7th,8th,,,9th,,10th,11th,,12th,AW,Total
,,,,,,,,,,,Statewide Total,"5,817",187,,,"6,034","6,264","6,013","6,236","6,132",,,,"6,077","6,132","6,108","6,134",,,"6,179",,"6,091","6,023",,"5,849",83,"85,359"
,Addison County,,,,,Addison Central SU,Bridport,,,,Bridport Central School,19, ,,,7,12,8,12,11,,,,11,12, , ,,, ,, , ,, , ,92
,,,,,,,Cornwall,,,,Bingham Memorial School,4, ,,,12,12,15,8,12,,,,14,14, , ,,, ,, , ,, , ,91
,,,,,,,Middlebury ID #4,,,,Middlebury ID #4 School,46, ,,,69,60,51,61,52,,,,59,57, , ,,, ,, , ,, , ,455
,,,,,,,Middlebury UHSD #3,,,,Middlebury Senior UHSD #3, , ,,, , , , , ,,,, , , , ,,,144,,155,152,,135,11,597
,,,,,,,,,,,Middlebury Union Middle School #3, , ,,, , , , , ,,,, , ,120,179,,, ,, , ,, , ,299
,,,,,,,Ripton,,,,Ripton Elementary School,7, ,,,5,8,5,5,8,,,,3,4, , ,,, ,, , ,, , ,45
,,,,,,,Salisbury,,,,Salisbury Community School,16, ,,,11,13,12,16,15,,,,8,15, , ,,, ,, , ,, , ,106
,,,,,,,Shoreham,,,,Shoreham Elementary School,3, ,,,10,6,8,13,11,,,,7,13, , ,,, ,, , ,, , ,71
,,,,,,,Weybridge,,,,Weybridge Elementary School,1, ,,,7,6,5,9,5,,,,13,5, , ,,, ,, , ,, , ,51
,,,,,,Addison Northeast SU,Bristol,,,,Bristol Elementary School,38, ,,,32,41,44,40,49,,,,26,28, , ,,, ,, , ,, , ,298
,,,,,,,Lincoln,,,,Lincoln Community School,2, ,,,19,16,19,21,21,,,,11,18, , ,,, ,, , ,, , ,127
,,,,,,,Monkton,,,,Monkton Central School,10, ,,,19,21,18,29,24,,,,19,19, , ,,, ,, , ,, , ,159
,,,,,,,Mt Abraham UHSD #28 (District),,,,Mt Abraham UHSD #28 (School), , ,,, , , , , ,,,, , ,126,130,,,121,,124,124,,128, ,753
,,,,,,,New Haven,,,,Beeman Elementary School,3, ,,,15,12,13,18,15,,,,6,16, , ,,, ,, , ,, , ,98
,,,,,,,Starksboro,,,,Robinson School,13, ,,,19,26,18,24,26,,,,22,20, , ,,, ,, , ,, , ,168
,,,,,,Addison Northwest SU,Addison,,,,Addison Central School,7, ,,,9,5,5,15,7,,,,12,15, , ,,, ,, , ,, , ,75
,,,,,,,Ferrisburgh,,,,Ferrisburgh Central School,11, ,,,21,28,27,26,30,,,,31,29, , ,,, ,, , ,, , ,203
,,,,,,,Vergennes UESD #44 (District),,,,Vergennes UESD #44 (School),48,36,,, ,37,41,42,32,,,,39,29, , ,,, ,, , ,, , ,304
,,,,,,,Vergennes UHSD #5 (District),,,,Vergennes UHSD #5 (School), , ,,, , , , , ,,,, , ,91,72,,,88,,81,86,,93, ,511
,,,,,,Addison Rutland SU,Orwell,,,,Orwell Village School, , ,,,9,12,16,12,11,,,,17,15,11,8,,, ,, , ,, , ,111
,,,,,,Rutland Northeast SU,Leicester,,,,Leicester Central School,6, ,,,7,8,8,10,8,,,,11,11, , ,,, ,, , ,, , ,69
,,,,,,,Whiting,,,,Whiting Village School,6, ,,,5,4,6,5,4,,,,7,2, , ,,, ,, , ,, , ,39
,,,,,,,,,,,County Total,240,36,,,276,327,319,366,341,,,,316,322,348,389,,,353,,360,362,,356,11,"4,722"
,Bennington County,,,,,Battenkill Valley SU,Arlington,,,,Arlington Memorial, , ,,, , , , , ,,,, ,28,36,38,,,29,,29,30,,23, ,213
,,,,,,,,,,,Fisher School,29, ,,,38,32,23,28,27,,,,24, , , ,,, ,, , ,, , ,201
,,,,,,Bennington Rutland SU,Dorset,,,,Dorset School,12, ,,,16,15,23,16,19,,,,25,21,26,18,,, ,, , ,, , ,191
,,,,,,,Manchester,,,,Manchester Elementary/Middle School,40, ,,,38,43,36,30,47,,,,42,41,49,58,,, ,, , ,, , ,424
,,,,,,,Sunderland,,,,Sunderland Elementary School,7, ,,,15,10,9,15,6,,,,6,4, , ,,, ,, , ,, , ,72
,,,,,,Southwest Vermont SU,Bennington ID,,,,Bennington Elementary School,58, ,,,46,44,33,42,46,,,,36, , , ,,, ,, , ,, , ,305
,,,,,,,,,,,Molly Stark School,73, ,,,78,60,62,74,60,,,,54, , , ,,, ,, , ,, , ,461
,,,,,,,,,,,Monument School,20, ,,,19,25,26,26,18,,,,24, , , ,,, ,, , ,, , ,158
,,,,,,,Mt Anthony UHSD #14,,,,Mt Anthony Senior UHSD #14, , ,,, , , , , ,,,, , , , ,,,239,,268,252,,227, ,986
,,,,,,,,,,,Mt Anthony Union Middle School, , ,,, , , , , ,,,, ,129,242,199,,, ,, , ,, , ,570
,,,,,,,Pownal,,,,Pownal Elementary School,29, ,,,35,30,34,47,35,,,,29,36, , ,,, ,, , ,, , ,275
