,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Enrollment Report,,,,,,,,,,,,,,,
,,,,,,,,,Student Enrollment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Export to Excel,,,,,,,,,,,,,,,
,,,,,,,,,,School Year  2017-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Information about this report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,School Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NECAP Assessment Report Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,County               SU/SD                Operating District    School Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,PK/EEE,K Part,,,K Full,1st,2nd,3rd,4th,,,,5th,6th,7th,8th,,,9th,,10th,11th,,12th,AW,PD,Total
,,,,,,,,,,,Statewide Total,"8,815",18,,,"5,727","5,773","5,817","5,796","6,167",,,,"6,184","5,952","6,037","5,907",,,"5,747",,"5,695","5,499",,"5,199",68,3,"84,404"
,Addison County,,,,,Addison Central SU,Addison Central Unified School District,,,,Bingham Memorial School,15, ,,,9,6,8,10,11,,,,15,19, , ,,, ,, , ,, , , ,93
,,,,,,,,,,,Bridport Central School,19, ,,,12,6,6,10,6,,,,12,6, , ,,, ,, , ,, , , ,77
,,,,,,,,,,,Middlebury ID #4 School,99, ,,,66,69,59,60,62,,,,66,48, , ,,, ,, , ,, , , ,529
,,,,,,,,,,,Middlebury Union High School, , ,,, , , , , ,,,, , , , ,,,123,,148,132,,173,3, ,579
,,,,,,,,,,,Middlebury Union Middle School, , ,,, , , , , ,,,, , ,148,133,,, ,, , ,, , , ,281
,,,,,,,,,,,Ripton Elementary School,11, ,,,10,4,8,10,3,,,,8,5, , ,,, ,, , ,, , , ,59
,,,,,,,,,,,Salisbury Community School,17, ,,,10,14,13,14,12,,,,19,14, , ,,, ,, , ,, , , ,113
,,,,,,,,,,,Shoreham Elementary School,32, ,,,14,14,13,6,9,,,,9,8, , ,,, ,, , ,, , , ,105
,,,,,,,,,,,Weybridge Elementary School,9, ,,,9,9,8,8,10,,,,7,4, , ,,, ,, , ,, , , ,64
,,,,,,Addison Northeast SU,Bristol,,,,Bristol Elementary School,60, ,,,27,37,37,34,38,,,,35,36, , ,,, ,, , ,, , , ,304
,,,,,,,Lincoln,,,,Lincoln Community School,17, ,,,11,16,21,14,21,,,,14,19, , ,,, ,, , ,, , , ,133
,,,,,,,Monkton,,,,Monkton Central School,15, ,,,18,22,14,26,21,,,,20,20, , ,,, ,, , ,, , , ,156
,,,,,,,Mt Abraham UHSD #28 (District),,,,Mt Abraham UHSD #28 (School), , ,,, , , , , ,,,, , ,123,125,,,77,,104,108,,119, , ,656
,,,,,,,New Haven,,,,Beeman Elementary School,10, ,,,14,7,14,10,13,,,,16,16, , ,,, ,, , ,, , , ,100
,,,,,,,Starksboro,,,,Robinson School,16, ,,,19,21,13,24,22,,,,28,14, , ,,, ,, , ,, , , ,157
,,,,,,Addison Northwest SU,Addison Northwest Unified School District,,,,Addison Central School,19, ,,,12,11,9,9,9,,,,7,5, , ,,, ,, , ,, , , ,81
,,,,,,,,,,,Ferrisburgh Central School,14, ,,,20,16,21,12,19,,,,28,28, , ,,, ,, , ,, , , ,158
,,,,,,,,,,,Vergennes Union Elementary School,43, ,,,32,29,33,33,38,,,,33,34, , ,,, ,, , ,, , , ,275
,,,,,,,,,,,Vergennes Union High School, , ,,, , , , , ,,,, , ,82,66,,,92,,65,81,,64, , ,450
,,,,,,Addison Rutland SU,Orwell,,,,Orwell Village School,20, ,,,15,11,17,14,9,,,,15,14,15,12,,, ,, , ,, , , ,142
,,,,,,Rutland Northeast SU,Otter Valley Unified School District,,,,Leicester Central School,5, ,,,4,6,3,5,7,,,,6,8, , ,,, ,, , ,, , , ,44
,,,,,,,,,,,Whiting Sudbury Learning Academy,16, ,,,5,4,14,4,11,,,,9,13, , ,,, ,, , ,, , , ,76
,,,,,,,,,,,County Total,437, ,,,307,302,311,303,321,,,,347,311,368,336,,,292,,317,321,,356,3, ,"4,632"
,Bennington County,,,,,Battenkill Valley SU,Arlington,,,,Arlington Memorial, , ,,, , , , , ,,,, ,27,19,32,,,31,,39,29,,26, , ,203
,,,,,,,,,,,Fisher School,52, ,,,29,24,27,30,30,,,,27, , , ,,, ,, , ,, , , ,219
,,,,,,Bennington Rutland SU,Dorset,,,,Dorset School,28, ,,,13,16,6,16,12,,,,29,19,23,26,,, ,, , ,, , , ,188
,,,,,,,Manchester,,,,Manchester Elementary/Middle School,63, ,,,38,36,31,33,37,,,,38,40,43,61,,, ,, , ,, , , ,420
,,,,,,,Sunderland,,,,Sunderland Elementary School,7, ,,,10,14,12,12,17,,,,10,11, , ,,, ,, , ,, , , ,93
,,,,,,Southwest Vermont SU,Bennington ID,,,,Bennington Elementary School,67, ,,,50,44,51,47,52,,,,42, , , ,,, ,, , ,, , , ,353
,,,,,,,,,,,Molly Stark School,144, ,,,56,50,59,60,82,,,,62, , , ,,, ,, , ,, , , ,513
,,,,,,,,,,,Monument School,38, ,,,18,23,23,18,15,,,,23, , , ,,, ,, , ,, , , ,158
,,,,,,,Mt Anthony UHSD #14,,,,Mt Anthony Senior UHSD #14, , ,,, , , , , ,,,, , , , ,,,192,,233,243,,196, , ,864
,,,,,,,,,,,Mt Anthony Union Middle School, , ,,, , , , , ,,,, ,130,246,198,,, ,, , ,, , , ,574
,,,,,,,Pownal,,,,Pownal Elementary School,42, ,,,28,34,21,39,34,,,,28,38, , ,,, ,, , ,, , , ,264
,,,,,,,Shaftsbury,,,,Shaftsbury Elementary School,46, ,,,27,32,31,30,30,,,,33,27, , ,,, ,, , ,, , , ,256
