Fiscal Year,SUID,SUName,ORGID,OrgName,Enrollment,Concat,K12FTE,TotStaffFTE,VCFlag
2011-2012,SU001,Addison Northeast SU,PS023,Beeman Elementary School,103,PS0232012,8.8,20.7,0
2011-2012,SU001,Addison Northeast SU,PS045,Bristol Elementary School,280,PS0452012,26.7,65.6,0
2011-2012,SU001,Addison Northeast SU,PS162,Lincoln Community School,116,PS1622012,10,25.3,0
2011-2012,SU001,Addison Northeast SU,PS189,Monkton Central School,161,PS1892012,12.8,31.1,0
2011-2012,SU001,Addison Northeast SU,PS195,Mt Abraham UHS #28,773,PS1952012,79.6,144.1,0
2011-2012,SU001,Addison Northeast SU,PS246,Robinson School,163,PS2462012,15.4,31.7,0
2011-2012,SU001,Addison Northeast SU,SU001,Addison Northeast SU,0,SU0012012,5.6,38.8,0
2011-2012,SU002,Addison Northwest SU,PS002,Addison Central School,92,PS0022012,9.8,21.4,0
2011-2012,SU002,Addison Northwest SU,PS108,Ferrisburgh Central School,208,PS1082012,16.7,34.75,0
2011-2012,SU002,Addison Northwest SU,PS311,Vergennes Ues #44,261,PS3112012,22,47.4,0
2011-2012,SU002,Addison Northwest SU,PS312,Vergennes UHS #5,571,PS3122012,50,88,0
2011-2012,SU002,Addison Northwest SU,SU002,Addison Northwest SU,0,SU0022012,7.2,19.8,0
2011-2012,SU003,Addison Central SU,PS043,Bridport Central School,68,PS0432012,10.04,20.41,0
2011-2012,SU003,Addison Central SU,PS076,Bingham Memorial School,83,PS0762012,9.07,18.46,0
2011-2012,SU003,Addison Central SU,PS179,Middlebury Id#4,399,PS1792012,36.5,91.45,0
2011-2012,SU003,Addison Central SU,PS180,Middlebury Union High School,645,PS1802012,51.7,98.85,0
2011-2012,SU003,Addison Central SU,PS244,Ripton Elementary School,42,PS2442012,4.96,11.86,0
2011-2012,SU003,Addison Central SU,PS259,Salisbury Community School,79,PS2592012,9.42,18.86,0
2011-2012,SU003,Addison Central SU,PS268,Shoreham Elementary School,75,PS2682012,10.32,19.52,0
2011-2012,SU003,Addison Central SU,PS336,Weybridge Elementary School,53,PS3362012,5.9,14.8,0
2011-2012,SU003,Addison Central SU,PS366,Middlebury Union Middle School #3,286,PS3662012,29.9,55.95,0
2011-2012,SU003,Addison Central SU,SU003,Addison Central SU,0,SU0032012,8.42,45.05,0
2011-2012,SU004,Addison Rutland SU,PS031,Benson Village School,110,PS0312012,10,26.8,0
2011-2012,SU004,Addison Rutland SU,PS061,Castleton Hubbardton US #42,352,PS0612012,34.63,85.63,0
2011-2012,SU004,Addison Rutland SU,PS103,Fair Haven Grade School,331,PS1032012,31.8,69.58,0
2011-2012,SU004,Addison Rutland SU,PS104,Fair Haven UHS #16,421,PS1042012,43.9,94.29,0
2011-2012,SU004,Addison Rutland SU,PS218,Orwell Village School,129,PS2182012,11,22.96,0
2011-2012,SU004,Addison Rutland SU,SU004,Addison Rutland SU,0,SU0042012,10.4,33.84,0
2011-2012,SU005,Southwest Vermont SU,PS029,Bennington Elementary School,268,PS0292012,17.7,28.7,0
2011-2012,SU005,Southwest Vermont SU,PS188,Molly Stark School,381,PS1882012,24.5,40.5,0
2011-2012,SU005,Southwest Vermont SU,PS192,Monument Elementary School,145,PS1922012,8.4,17.8,0
2011-2012,SU005,Southwest Vermont SU,PS196,Mt Anthony Sr UHS #14,993,PS1962012,70,119,0
2011-2012,SU005,Southwest Vermont SU,PS197,Mt Anthony Union Middle School,604,PS1972012,43.2,73.2,0
2011-2012,SU005,Southwest Vermont SU,PS213,North Bennington Graded School,121,PS2132012,10.1,15.7,0
2011-2012,SU005,Southwest Vermont SU,PS231,Pownal Elementary School,264,PS2312012,17.8,29.8,0
2011-2012,SU005,Southwest Vermont SU,PS262,Shaftsbury Elem School,214,PS2622012,14.8,21.8,0
2011-2012,SU005,Southwest Vermont SU,PS354,Woodford Hollow School,27,PS3542012,2.8,4.5,0
2011-2012,SU005,Southwest Vermont SU,SU005,Southwest Vermont SU,0,SU0052012,96.8,281.92,0
2011-2012,SU006,Bennington Rutland SU,PS079,Currier Memorial US #23,99,PS0792012,10.69,28.56,0
2011-2012,SU006,Bennington Rutland SU,PS085,Dorset School ,163,PS0852012,18.2,41.08,0
2011-2012,SU006,Bennington Rutland SU,PS175,Manchester Elem/Middle School,414,PS1752012,40.94,83.74,0
2011-2012,SU006,Bennington Rutland SU,PS293,Sunderland Elem School,64,PS2932012,6.73,13.1,0
2011-2012,SU006,Bennington Rutland SU,PS392,Mettawee Community US #47,164,PS3922012,18.8,42.1,0
2011-2012,SU006,Bennington Rutland SU,SU006,Bennington Rutland SU,0,SU0062012,0,20.6,0
2011-2012,SU007,Colchester SD,PS072,Colchester High School,717,PS0722012,57.16,120.06,0
