School,County,SupervisoryUnion,OperatingDistrict,Grade,Enrollment,year
Bridport Central School,Addison County,Addison Central SU,Bridport,PKEEE,12,2016
Bridport Central School,Addison County,Addison Central SU,Bridport,KFull,9,2016
Bridport Central School,Addison County,Addison Central SU,Bridport,Grade01,9,2016
Bridport Central School,Addison County,Addison Central SU,Bridport,Grade02,7,2016
Bridport Central School,Addison County,Addison Central SU,Bridport,Grade03,10,2016
Bridport Central School,Addison County,Addison Central SU,Bridport,Grade04,6,2016
Bridport Central School,Addison County,Addison Central SU,Bridport,Grade05,9,2016
Bridport Central School,Addison County,Addison Central SU,Bridport,Grade06,9,2016
Bingham Memorial School,Addison County,Addison Central SU,Cornwall,PKEEE,4,2016
Bingham Memorial School,Addison County,Addison Central SU,Cornwall,KFull,8,2016
Bingham Memorial School,Addison County,Addison Central SU,Cornwall,Grade01,10,2016
Bingham Memorial School,Addison County,Addison Central SU,Cornwall,Grade02,11,2016
Bingham Memorial School,Addison County,Addison Central SU,Cornwall,Grade03,13,2016
Bingham Memorial School,Addison County,Addison Central SU,Cornwall,Grade04,17,2016
Bingham Memorial School,Addison County,Addison Central SU,Cornwall,Grade05,6,2016
Bingham Memorial School,Addison County,Addison Central SU,Cornwall,Grade06,12,2016
Middlebury ID #4 School,Addison County,Addison Central SU,Middlebury ID #4,PKEEE,52,2016
Middlebury ID #4 School,Addison County,Addison Central SU,Middlebury ID #4,KFull,58,2016
Middlebury ID #4 School,Addison County,Addison Central SU,Middlebury ID #4,Grade01,54,2016
Middlebury ID #4 School,Addison County,Addison Central SU,Middlebury ID #4,Grade02,65,2016
Middlebury ID #4 School,Addison County,Addison Central SU,Middlebury ID #4,Grade03,64,2016
Middlebury ID #4 School,Addison County,Addison Central SU,Middlebury ID #4,Grade04,46,2016
Middlebury ID #4 School,Addison County,Addison Central SU,Middlebury ID #4,Grade05,66,2016
Middlebury ID #4 School,Addison County,Addison Central SU,Middlebury ID #4,Grade06,60,2016
Middlebury Senior UHSD #3,Addison County,Addison Central SU,Middlebury UHSD #3,Grade09,131,2016
Middlebury Senior UHSD #3,Addison County,Addison Central SU,Middlebury UHSD #3,Grade10,179,2016
Middlebury Senior UHSD #3,Addison County,Addison Central SU,Middlebury UHSD #3,Grade11,151,2016
Middlebury Senior UHSD #3,Addison County,Addison Central SU,Middlebury UHSD #3,Grade12,159,2016
Middlebury Senior UHSD #3,Addison County,Addison Central SU,Middlebury UHSD #3,AW,10,2016
Middlebury Union Middle School,Addison County,Addison Central SU,Middlebury UHSD #3,Grade07,122,2016
Middlebury Union Middle School,Addison County,Addison Central SU,Middlebury UHSD #3,Grade08,143,2016
Ripton Elementary School,Addison County,Addison Central SU,Ripton,PKEEE,4,2016
Ripton Elementary School,Addison County,Addison Central SU,Ripton,KFull,9,2016
Ripton Elementary School,Addison County,Addison Central SU,Ripton,Grade01,8,2016
Ripton Elementary School,Addison County,Addison Central SU,Ripton,Grade02,3,2016
Ripton Elementary School,Addison County,Addison Central SU,Ripton,Grade03,8,2016
Ripton Elementary School,Addison County,Addison Central SU,Ripton,Grade04,6,2016
Ripton Elementary School,Addison County,Addison Central SU,Ripton,Grade05,4,2016
Ripton Elementary School,Addison County,Addison Central SU,Ripton,Grade06,4,2016
Salisbury Community School,Addison County,Addison Central SU,Salisbury,PKEEE,13,2016
Salisbury Community School,Addison County,Addison Central SU,Salisbury,KFull,12,2016
Salisbury Community School,Addison County,Addison Central SU,Salisbury,Grade01,12,2016
Salisbury Community School,Addison County,Addison Central SU,Salisbury,Grade02,13,2016
Salisbury Community School,Addison County,Addison Central SU,Salisbury,Grade03,13,2016
Salisbury Community School,Addison County,Addison Central SU,Salisbury,Grade04,14,2016
Salisbury Community School,Addison County,Addison Central SU,Salisbury,Grade05,14,2016
Salisbury Community School,Addison County,Addison Central SU,Salisbury,Grade06,14,2016
Shoreham Elementary School,Addison County,Addison Central SU,Shoreham,PKEEE,2,2016
Shoreham Elementary School,Addison County,Addison Central SU,Shoreham,KFull,9,2016
Shoreham Elementary School,Addison County,Addison Central SU,Shoreham,Grade01,8,2016
Shoreham Elementary School,Addison County,Addison Central SU,Shoreham,Grade02,13,2016
Shoreham Elementary School,Addison County,Addison Central SU,Shoreham,Grade03,6,2016
Shoreham Elementary School,Addison County,Addison Central SU,Shoreham,Grade04,10,2016
Shoreham Elementary School,Addison County,Addison Central SU,Shoreham,Grade05,14,2016
Shoreham Elementary School,Addison County,Addison Central SU,Shoreham,Grade06,12,2016
Weybridge Elementary School,Addison County,Addison Central SU,Weybridge,PKEEE,2,2016
Weybridge Elementary School,Addison County,Addison Central SU,Weybridge,KFull,8,2016
Weybridge Elementary School,Addison County,Addison Central SU,Weybridge,Grade01,7,2016
Weybridge Elementary School,Addison County,Addison Central SU,Weybridge,Grade02,7,2016
Weybridge Elementary School,Addison County,Addison Central SU,Weybridge,Grade03,5,2016
Weybridge Elementary School,Addison County,Addison Central SU,Weybridge,Grade04,4,2016
Weybridge Elementary School,Addison County,Addison Central SU,Weybridge,Grade05,9,2016
Weybridge Elementary School,Addison County,Addison Central SU,Weybridge,Grade06,5,2016
Bristol Elementary School,Addison County,Addison Northeast SU,Bristol,PKEEE,50,2016
Bristol Elementary School,Addison County,Addison Northeast SU,Bristol,KFull,38,2016
Bristol Elementary School,Addison County,Addison Northeast SU,Bristol,Grade01,30,2016
Bristol Elementary School,Addison County,Addison Northeast SU,Bristol,Grade02,35,2016
Bristol Elementary School,Addison County,Addison Northeast SU,Bristol,Grade03,37,2016
Bristol Elementary School,Addison County,Addison Northeast SU,Bristol,Grade04,41,2016
Bristol Elementary School,Addison County,Addison Northeast SU,Bristol,Grade05,40,2016
Bristol Elementary School,Addison County,Addison Northeast SU,Bristol,Grade06,46,2016
Lincoln Community School,Addison County,Addison Northeast SU,Lincoln,PKEEE,23,2016
Lincoln Community School,Addison County,Addison Northeast SU,Lincoln,KFull,18,2016
Lincoln Community School,Addison County,Addison Northeast SU,Lincoln,Grade01,12,2016
Lincoln Community School,Addison County,Addison Northeast SU,Lincoln,Grade02,18,2016
Lincoln Community School,Addison County,Addison Northeast SU,Lincoln,Grade03,15,2016
Lincoln Community School,Addison County,Addison Northeast SU,Lincoln,Grade04,17,2016
Lincoln Community School,Addison County,Addison Northeast SU,Lincoln,Grade05,17,2016
Lincoln Community School,Addison County,Addison Northeast SU,Lincoln,Grade06,19,2016
Monkton Central School,Addison County,Addison Northeast SU,Monkton,PKEEE,29,2016
Monkton Central School,Addison County,Addison Northeast SU,Monkton,KFull,17,2016
Monkton Central School,Addison County,Addison Northeast SU,Monkton,Grade01,25,2016
Monkton Central School,Addison County,Addison Northeast SU,Monkton,Grade02,19,2016
Monkton Central School,Addison County,Addison Northeast SU,Monkton,Grade03,22,2016
Monkton Central School,Addison County,Addison Northeast SU,Monkton,Grade04,20,2016
Monkton Central School,Addison County,Addison Northeast SU,Monkton,Grade05,25,2016
Monkton Central School,Addison County,Addison Northeast SU,Monkton,Grade06,22,2016
Mt Abraham UHSD #28 (School),Addison County,Addison Northeast SU,Mt Abraham UHSD #28 (District),Grade07,78,2016
Mt Abraham UHSD #28 (School),Addison County,Addison Northeast SU,Mt Abraham UHSD #28 (District),Grade08,96,2016
Mt Abraham UHSD #28 (School),Addison County,Addison Northeast SU,Mt Abraham UHSD #28 (District),Grade09,117,2016
Mt Abraham UHSD #28 (School),Addison County,Addison Northeast SU,Mt Abraham UHSD #28 (District),Grade10,131,2016
Mt Abraham UHSD #28 (School),Addison County,Addison Northeast SU,Mt Abraham UHSD #28 (District),Grade11,111,2016
Mt Abraham UHSD #28 (School),Addison County,Addison Northeast SU,Mt Abraham UHSD #28 (District),Grade12,116,2016
Beeman Elementary School,Addison County,Addison Northeast SU,New Haven,PKEEE,11,2016
Beeman Elementary School,Addison County,Addison Northeast SU,New Haven,KFull,16,2016
Beeman Elementary School,Addison County,Addison Northeast SU,New Haven,Grade01,12,2016
Beeman Elementary School,Addison County,Addison Northeast SU,New Haven,Grade02,14,2016
Beeman Elementary School,Addison County,Addison Northeast SU,New Haven,Grade03,13,2016
Beeman Elementary School,Addison County,Addison Northeast SU,New Haven,Grade04,15,2016
Beeman Elementary School,Addison County,Addison Northeast SU,New Haven,Grade05,19,2016
Beeman Elementary School,Addison County,Addison Northeast SU,New Haven,Grade06,16,2016
